bedroom,net_sqm,distance_to_center_km,distance_to_metro_km,floor,age_of_house,price
4,197,3,3,17,28,204137
5,190,6,6,3,7,213239
3,183,16,5,2,14,178192
5,53,2,5,12,13,76866
5,110,7,2,6,5,119096
2,163,11,8,10,42,149227
3,164,7,5,11,8,179629
3,76,4,2,16,1,84684
3,68,24,7,16,5,68737
5,182,20,9,18,11,179118
4,58,7,9,9,43,60503
3,145,4,1,19,48,148419
5,60,12,7,2,10,61819
2,103,5,9,1,15,95627
4,66,23,6,16,39,50703
2,94,19,1,18,47,86268
4,68,5,2,3,29,65799
5,187,19,4,1,25,194346
1,64,21,4,6,48,44885
4,109,3,2,19,6,129668
2,102,11,8,19,11,106799
5,169,7,2,11,17,179830
4,189,17,3,8,15,200995
1,55,9,4,5,16,46180
1,185,21,9,9,2,176495
3,139,9,1,15,36,145637
3,69,10,8,14,19,74573
2,84,13,5,4,38,64250
4,58,15,7,8,21,59681
4,73,22,8,17,11,81106
3,180,5,5,2,41,183419
4,101,3,8,16,3,111829
4,157,8,8,10,34,163196
1,139,20,9,2,18,126844
3,61,10,2,11,15,60513
5,150,13,3,10,25,149324
3,112,3,1,19,15,114894
5,186,22,4,14,30,193563
1,77,8,5,11,17,68637
2,109,9,1,9,18,104860
4,155,22,8,7,31,144075
1,118,21,2,15,43,85584
4,187,12,1,17,18,200215
2,48,11,2,3,35,33383
2,71,2,5,15,13,74491
1,171,18,9,14,14,146600
2,89,9,9,8,36,69559
5,121,2,2,4,18,142480
2,44,2,2,10,5,61205
4,187,3,3,2,14,191833
4,126,16,7,14,25,121579
4,165,19,3,8,44,163889
4,114,4,1,10,39,118195
5,61,23,6,18,12,73212
3,107,18,3,15,40,89021
1,83,20,1,5,28,59072
4,73,18,4,13,35,61087
2,116,10,1,18,1,121530
4,81,11,1,2,3,96030
2,176,17,2,13,43,153096
2,145,24,8,14,7,127325
4,134,23,2,10,9,129182
5,174,24,2,4,36,172669
2,107,20,8,15,23,101987
2,186,16,6,8,24,180051
4,198,20,4,15,10,190104
2,167,13,3,14,48,152130
2,124,2,1,9,12,138005
4,198,24,3,3,19,183551
4,122,2,9,15,32,121998
1,134,14,5,17,24,131496
5,71,4,6,16,22,93292
5,105,17,5,4,3,119100
2,155,13,1,11,40,139610
5,177,4,1,8,27,187990
2,169,3,4,3,19,172666
1,99,12,3,19,9,101658
4,56,22,8,14,49,35322
4,135,23,7,9,13,137447
4,183,8,7,3,2,187021
5,55,2,8,4,36,71643
1,85,6,7,4,29,74819
5,198,22,2,11,11,194847
5,146,10,4,19,34,146676
1,127,12,6,16,4,125362
1,168,21,3,17,4,163720
1,178,10,3,10,1,179108
1,158,10,6,17,25,141557
4,124,23,1,16,26,127646
3,43,3,1,6,11,43735
3,110,20,5,7,23,98214
1,193,10,1,14,2,193556
3,150,9,8,11,19,144394
3,89,20,2,12,29,75428
1,179,19,6,14,40,150329
3,134,14,5,5,4,132341
5,131,2,4,5,16,156060
2,104,5,1,15,47,98872
2,86,20,3,1,37,59430
1,145,8,4,9,27,135390
4,169,7,2,3,5,188557
1,145,6,2,4,15,147432
4,63,11,2,16,23,73932
2,43,12,1,7,49,20495
1,147,18,2,14,3,147453
5,58,19,6,16,18,69897
3,193,10,3,18,43,196760
4,79,21,5,16,26,72373
3,89,14,1,16,6,90396
3,114,3,8,2,44,119457
1,51,18,4,10,17,41542
3,66,24,9,7,46,49800
5,152,15,4,15,38,157034
3,88,6,2,9,42,94306
1,183,10,3,7,48,162977
5,169,12,5,16,27,169802
2,99,7,6,3,20,88122
3,69,17,7,17,6,71282
1,123,1,4,8,35,108756
2,67,18,7,2,12,63933
2,64,15,3,3,48,39020
4,135,19,7,8,3,137697
5,164,1,4,2,48,179727
3,49,5,8,19,4,60564
1,81,15,9,17,45,57637
4,79,3,7,5,4,102598
5,116,1,8,17,4,132806
4,144,8,8,10,39,152893
5,157,12,2,9,21,164491
5,81,22,9,6,44,65019
3,86,19,6,11,2,92184
5,61,12,4,2,16,79981
4,146,13,5,12,7,146911
5,66,1,5,12,19,78228
3,80,19,7,16,43,73549
